Video_title,Comment_id,Comment_content,Time,Username,Channel_user,Likes,Photo_thumbnails,Hearted_by_video_publisher
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzmNdInL-PvCfu0WYp4AaABAg,不如整個酒店gym room series😂,4 個月前,@binnyl6492,UCAQTnb9CyOMbfaCsdukd4hg,165,https://yt3.ggpht.com/ytc/APkrFKaNvy-7njLynpOxVB4GbTBkMS8g_Cr8JeB-tw=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgwCPX_e7nlXI1QjNcB4AaABAg,其實啞鈴有75磅就算少器材都唔算好差，一對啞鈴都玩到好多動作！,4 個月前,@singpo3896,UCq7P9wkyVPQpH1zGuX6FHww,44,https://yt3.ggpht.com/ytc/APkrFKZvoOzpXE0Mu7YfUUxiRb7tFP1IQFRQ4DwtidKP=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,Ugz_kT11za5LcfNJ3wd4AaABAg,寶林 / 將軍澳 應該都算細掛,4 個月前,@wahung0619,UC_uLNjuTRsz3ylN4MDgsg0w,18,https://yt3.ggpht.com/ytc/APkrFKbcx1iS1rkLWdhbYtTAQOKxELAOmUB70nk8-Q=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzUzjwueAfpbXnaNRN4AaABAg,你啲片幾好，好寫實，keep住！！！,4 個月前,@wmc5742,UCxGakdrzuZTD2u5Msy5awRQ,12,https://yt3.ggpht.com/ytc/APkrFKZXQGLzp0i-fV6RuUWuHB4cvyZLZy14ptglut1hxhQ=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzNcF5YrhJnOeWPpfh4AaABAg,不如拍晒全香港所有康文署健身室系列。全制霸😂🎉正,4 個月前,@moonkk2028,UCK7SZ94-3jYRSQHXzN-lcuw,134,https://yt3.ggpht.com/ytc/APkrFKayTkUkMsOK_hr_vy_DF24JAKbstFhDOEjfPA=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,Ugy--MT7GUgHT-R1ogl4AaABAg,"曉光街同順利大概距離只差1公里左右, 設施好好多",4 個月前,@user-mc3ue1ot4o,UCxUfgS1hJBQHcQA9ZNaYhjw,9,https://yt3.ggpht.com/ytc/APkrFKYZbXvsg9lF-50FEpYt4GJLzILD7Awdyt11ZQ=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgwZIbDwkTwQde7NgHp4AaABAg,鳯琴街先係細場地獄😂,4 個月前,@chanchris5190,UCMQ-3JF_lT_VJnTQuE8YZyg,27,https://yt3.ggpht.com/ytc/APkrFKbIwco74FpfY2fvUhosDqCALkZAqHpwobw8-TdP=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgwHvblYDXEoXZmXypN4AaABAg,仲諗住有恒安邨體育館😂,4 個月前,@TheColonelbruce,UCpNfsxmq3-VfWku0trwlNAQ,25,https://yt3.ggpht.com/ytc/APkrFKZH28VcRClVNO6USKcavuAVFN0cQevhnu6c0A=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgyhYRykYuXkMwAEx4l4AaABAg,上水天平係全香港最細最西康文gym room 連啞鈴都冇😂😂😂😂,4 個月前,@cronaldo4972,UC9UtwYkTP44J683rUGtX1qw,68,https://yt3.ggpht.com/ytc/APkrFKboDJYaVAliwjrB52UcCqOZ2IlxbM_sk2oAXoKP0Q=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgwXs9Aq5bce6FZTY_Z4AaABAg,梨木樹鄧肇堅體育館真係大魔王 細到仆街😵‍💫🫠,4 個月前,@heihei7952,UCSU3bXneX_LwXEQYCm8PQTQ,31,https://yt3.ggpht.com/ytc/APkrFKbBSnxxWKj-wGfYPByHX2uP5TlmKOQK5UcIgZjSvA=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzH0bXQQiKsNW5e41R4AaABAg,以前去荃灣西約，細到拎個啞鈴都覺得會撞到人。所以你明點解上次荃灣體育館咁多人,4 個月前,@siyan200,UCSRl8RhuAVZjms7X_tBRlHw,29,https://yt3.ggpht.com/HQtTa15ORjLdI9dZF0W-bsaMKZfo9MU2aIopa8h1WYXKx_W9w35rOxp15-iw_tAbmSN8qInq=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzxH6R5R3xP276eIh54AaABAg,Burger 講幾句都氣喘，係咪要做多D Cardio XD,4 個月前,@bernicecheung5713,UCyQicMELQdfiNHtMUVA47Eg,57,https://yt3.ggpht.com/ytc/APkrFKZR1UK83_txKRbqQ01YaA43ZjE9nFNGaZxrrg=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzRyxx1nkfKmNek2WN4AaABAg,公道講，好多場都唔細，覺得細是因為機多，所以感覺細。但機多才好，多選擇，又不用排隊。好多場睇落有空間但唔多機。最不希望是有些場俾你話細之後，政府以聽市民聲音到時cut機，想玩都無得玩，最好就將原本壁球室做健身室的場打通埋另一間壁球室擴大，但平時打開波嗰堆一定嘈健身人霸。,4 個月前,@cfchu8125,UCGwIE51T6xKndZcj8gMvEHA,9,https://yt3.ggpht.com/ytc/APkrFKbuDfRXuj7CvXazIuRZpturWLPNLZEm6YvFyw=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgzYbnrZEEG1HVEOrWR4AaABAg,未睇就先讚，會開一個新系列做康文署健身室開箱！講得好好笑好睇呀😂,4 個月前,@thisisLaws,UCpHwxS1kdPbnplMRVkSy_bg,3,https://yt3.ggpht.com/ytc/APkrFKZaEu3pqeoVrfpkuZrTUaiP_XgdQ-ZOmzBk8PSZjKiw4ooMcUHL3SfIX7KL69hM=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgxyH6AJPUr_JKVkAoV4AaABAg,"拍多啲呢啲系列，十分好睇。btw, 寶林同將軍澳體育館健身室都出名閪",4 個月前,@shukyingpoon8654,UCyQQiOheIVNSdbnwFkWYERg,6,https://yt3.ggpht.com/ytc/APkrFKbXRIYu5TmWcIujl1g6_plzQAeXgb0y1I6qLtukGHKpLKfN0uJeTd-F32zZls67=s176-c-k-c0x00ffffff-no-rj,True
全港”最細/西”康文署健身室!?|百無!!迫到無朋友!! - YouTube,UgylhbYaowli55SFveB4AaABAg,"以我經驗嚟講 要穿過主場先入到去嘅健身室
99% 都係細到仆街 🤡",4 個月前,@cyruswong8400,UCizOlxvO8SZ_Bd2BCM_yIQA,11,https://yt3.ggpht.com/ytc/APkrFKaHMZUofOht8UTplZMY05uyXUOq1sX5hc0BnZDdDkI=s176-c-k-c0x00ffffff-no-rj,True
